posteam,yardline_100,game_seconds_remaining,qtr,down,ydstogo,play_type,score_differential
,,3600.0,1,,0,,
ARI,35.0,3600.0,1,,0,kickoff,0.0
ARI,78.0,3596.0,1,1.0,10,run,0.0
ARI,75.0,3558.0,1,2.0,7,pass,0.0
ARI,64.0,3520.0,1,1.0,10,pass,0.0
ARI,75.0,3477.0,1,2.0,21,run,0.0
ARI,77.0,3434.0,1,3.0,23,run,0.0
ARI,76.0,3399.0,1,4.0,22,punt,0.0
NO,77.0,3387.0,1,1.0,10,run,0.0
NO,74.0,3355.0,1,2.0,7,pass,0.0
NO,74.0,3351.0,1,3.0,7,pass,0.0
NO,74.0,3346.0,1,4.0,7,punt,0.0
ARI,66.0,3334.0,1,1.0,10,pass,0.0
ARI,61.0,3306.0,1,2.0,5,run,0.0
ARI,48.0,3268.0,1,1.0,10,run,0.0
ARI,47.0,3235.0,1,2.0,9,pass,0.0
ARI,47.0,3191.0,1,3.0,9,no_play,0.0
ARI,34.0,3185.0,1,1.0,10,no_play,0.0
ARI,39.0,3185.0,1,1.0,15,pass,0.0
ARI,39.0,3142.0,1,2.0,15,run,0.0
ARI,27.0,3098.0,1,3.0,3,pass,0.0
ARI,22.0,3058.0,1,1.0,10,run,0.0
ARI,19.0,3017.0,1,2.0,7,pass,0.0
ARI,19.0,3014.0,1,3.0,7,no_play,0.0
ARI,24.0,3014.0,1,3.0,12,pass,0.0
ARI,24.0,3007.0,1,4.0,12,field_goal,0.0
NO,35.0,3003.0,1,,0,kickoff,-3.0
NO,75.0,2996.0,1,1.0,10,pass,-3.0
NO,64.0,2973.0,1,1.0,10,run,-3.0
NO,62.0,2954.0,1,2.0,8,pass,-3.0
NO,49.0,2919.0,1,1.0,10,no_play,-3.0
NO,54.0,2893.0,1,1.0,15,run,-3.0
NO,44.0,2853.0,1,2.0,5,no_play,-3.0
NO,54.0,2831.0,1,2.0,15,no_play,-3.0
NO,49.0,2821.0,1,1.0,10,run,-3.0
NO,40.0,2781.0,1,2.0,1,run,-3.0
NO,38.0,2744.0,1,1.0,10,no_play,-3.0
NO,43.0,2740.0,1,1.0,15,run,-3.0
NO,37.0,2711.0,1,2.0,9,pass,-3.0
NO,,2700.0,1,,0,,-3.0
NO,25.0,2700.0,2,1.0,10,pass,-3.0
NO,18.0,2666.0,2,2.0,3,run,-3.0
NO,15.0,2660.0,2,,0,extra_point,3.0
ARI,35.0,2660.0,2,,0,kickoff,-4.0
ARI,65.0,2660.0,2,1.0,10,pass,-4.0
ARI,59.0,2621.0,2,2.0,4,pass,-4.0
ARI,14.0,2585.0,2,1.0,10,run,-4.0
ARI,10.0,2543.0,2,2.0,6,run,-4.0
ARI,6.0,2499.0,2,3.0,2,run,-4.0
ARI,3.0,2456.0,2,1.0,3,no_play,-4.0
ARI,1.0,2449.0,2,1.0,1,run,-4.0
ARI,1.0,2410.0,2,2.0,1,pass,-4.0
ARI,15.0,2405.0,2,,0,extra_point,2.0
NO,35.0,2405.0,2,,0,kickoff,-3.0
NO,55.0,2398.0,2,1.0,10,run,-3.0
NO,51.0,2378.0,2,2.0,6,pass,-3.0
NO,46.0,2347.0,2,3.0,1,no_play,-3.0
NO,50.0,2326.0,2,3.0,5,pass,-3.0
NO,40.0,2295.0,2,1.0,10,run,-3.0
NO,35.0,2270.0,2,2.0,5,pass,-3.0
NO,31.0,2231.0,2,3.0,1,run,-3.0
NO,23.0,2188.0,2,1.0,10,run,-3.0
NO,21.0,2150.0,2,2.0,8,pass,-3.0
NO,21.0,2142.0,2,3.0,8,pass,-3.0
NO,18.0,2102.0,2,4.0,5,field_goal,-3.0
ARI,35.0,2098.0,2,,0,kickoff,0.0
ARI,71.0,2093.0,2,1.0,10,pass,0.0
ARI,71.0,2089.0,2,2.0,10,pass,0.0
ARI,71.0,2086.0,2,3.0,10,pass,0.0
ARI,60.0,2050.0,2,1.0,10,run,0.0
ARI,43.0,2029.0,2,1.0,10,no_play,0.0
ARI,53.0,2008.0,2,1.0,20,pass,0.0
ARI,56.0,1969.0,2,2.0,23,pass,0.0
ARI,45.0,1927.0,2,3.0,12,pass,0.0
ARI,20.0,1920.0,2,1.0,10,no_play,0.0
ARI,15.0,1917.0,2,1.0,5,run,0.0
ARI,8.0,1876.0,2,1.0,8,pass,0.0
ARI,4.0,1832.0,2,2.0,4,pass,0.0
ARI,15.0,1828.0,2,,0,extra_point,6.0
NO,35.0,1828.0,2,,0,kickoff,-7.0
